nombre;cursos;;;;;;;
ACOMPAÑAMIENTO INTEGRAL EN EL AULA;Primero BGU|Segundo BGU|Segundo EGB|Tercero BGU|Tercero EGB|Cuarto EGB|Quinto EGB|Sexto EGB|Séptimo EGB|Octavo EGB|Noveno EGB|10EGB;;;;;;;
ANIMACIÓN A LA LECTURA;Primero BGU|Segundo BGU|Segundo EGB|Tercero EGB|Cuarto EGB|Quinto EGB|Sexto EGB|Séptimo EGB|Octavo EGB|Noveno EGB|Décimo EGB;;;;;;;
BIOLOGÍA;Primero BGU|Segundo BGU|Tercero BGU;;;;;;;
CIENCIAS NATURALES;Segundo EGB|Tercero EGB|Cuarto EGB|Quinto EGB|Sexto EGB|Séptimo EGB|Octavo EGB|Noveno EGB|Décimo EGB;;;;;;;
CIUDADANÍA;Primero BGU|Segundo BGU|Tercero BGU;;;;;;;
COMPETENCIA DIGITAL;Primero BGU|Segundo BGU|Segundo EGB|Tercero EGB|Cuarto EGB|Quinto EGB|Sexto EGB|Séptimo EGB|Octavo EGB|Noveno EGB|Décimo EGB;;;;;;;
DESCUBRIMIENTO DEL MEDIO NATURAL Y CULTURAL;Inicial|Preparatoria;;;;;;;
ECA;Primero BGU|Segundo BGU|Segundo EGB|Tercero BGU|Tercero EGB|Cuarto EGB|Quinto EGB|Sexto EGB|Séptimo EGB|Octavo EGB|Noveno EGB|Décimo EGB;;;;;;;
EEFF;Segundo BGU|Tercero BGU|Segundo EGB|Tercero EGB|Cuarto EGB|Quinto EGB|Sexto EGB|Séptimo EGB|Octavo EGB|Noveno EGB|Décimo EGB|Primero BGU|Inicial|Preparatoria;;;;;;;
ESTUDIOS SOCIALES;Segundo EGB|Tercero EGB|Cuarto EGB|Quinto EGB|Sexto EGB|Séptimo EGB|Octavo EGB|Noveno EGB|Décimo EGB;;;;;;;
EXPRESIÓN Y COMUNICACIÓN;Inicial|Preparatoria;;;;;;;
FILOSOFÍA;Primero BGU|Segundo BGU|Tercero BGU;;;;;;;
FÍSICA;Primero BGU|Segundo BGU|Tercero BGU;;;;;;;
HISTORIA;Primero BGU|Segundo BGU|Tercero BGU;;;;;;;
IDIOMA EXTRANJERO;Segundo EGB|Tercero EGB|Cuarto EGB|Quinto EGB|Sexto EGB|Séptimo EGB|Octavo EGB|Noveno EGB|Décimo EGB;;;;;;;
IDIOMA EXTRANJERO BACHILLERATO;Primero BGU|Segundo BGU|Tercero BGU;;;;;;;
LENGUA Y LITERATURA;Primero BGU|Segundo BGU|Segundo EGB|Tercero BGU|Tercero EGB|Cuarto EGB|Quinto EGB|Sexto EGB|Séptimo EGB|Octavo EGB|Noveno EGB|Décimo EGB;;;;;;;
MATEMÁTICA;Primero BGU|Segundo BGU|Segundo EGB|Tercero BGU|Tercero EGB|Cuarto EGB|Quinto EGB|Sexto EGB|Séptimo EGB|Octavo EGB|Noveno EGB|Décimo EGB;;;;;;;
MÓDULO INTERDISCIPLINAR: EMPRENDIMIENTO Y GESTIÓN;Segundo BGU|Tercero BGU|Primero BGU;;;;;;;
OPTATIVA 1: INVESTIGACIÓN;Tercero BGU;;;;;;;
OPTATIVA 2: PROBLEMAS DEL MUNDO CONTEMPORÁNEO;Tercero BGU;;;;;;;
OPTATIVA 3: ESCRITURA CREATIVA;Tercero BGU;;;;;;;
ORIENTACIÓN VOCACIONAL Y PROFESIONAL;Octavo EGB|Noveno EGB|Décimo EGB;;;;;;;
PERSONAL Y SOCIAL;Inicial|Preparatoria;;;;;;;
PPE;Primero BGU|Segundo BGU;;;;;;;
QUÍMICA;Primero BGU|Segundo BGU|Tercero BGU;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
 ;;;;;;;;
